system:index,Area (sq m),From Class,To Class,.geo
2,12771.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,70021.0,WETLANDS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.4708601E8,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,524803.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.3433101E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.7430628E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6266255.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3178022.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,956277.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4864758.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1628570.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,249967.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1529141.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,505499.0,WETLANDS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,96086.0,WETLANDS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,44537.0,WETLANDS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,289064.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,8.1425802E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,6528011.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,5114105.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,1049130.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,707947.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2718347.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,140455.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
