system:index,Area (sq m),From Class,To Class,.geo
4,6583.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.32410962E8,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,757124.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,8202317.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.5247166E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.1974025E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.375504E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.2942423E7,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1163311.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,533002.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,423900.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,482330.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,245067.0,WETLANDS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,125047.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,46531.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,8.3772171E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1811445.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,7904437.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4604462.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,1713304.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,6241454.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,239830.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,182041.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,428947.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,737474.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,198109.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,191041.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,26614.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2.0683772E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,355073.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,564747.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,87023.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,244153.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,1637367.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,19935.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,73128.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,216901.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,26278.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,6615.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,4328336.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,886612.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,32858.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,26787.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,119105.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,26858.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,1.6350403E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2231771.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,152944.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,4887498.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,79822.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,1037015.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,295722.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,269066.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,226872.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,5297464.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,6560.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,390711.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,540542.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,308380.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,3912585.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,52467.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,98560.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,262859.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,59076.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,257728.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,236648.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2694231.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,377104.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,1.0609382E7,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,261201.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,13169.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,1.2843408E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,3600385.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,115129.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,263402.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,3277659.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,438600.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,1738143.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,559911.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,6562.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,39882.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,1.0383979E7,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,924823.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,13148.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,1283231.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,6356712.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,124534.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,1721075.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,52592.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,396868.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,3.2179333E7,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,6472575.0,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,2597589.0,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,336302.0,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,1209085.0,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,2219283.0,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,610260.0,WETLANDS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,46632.0,WATER BODIES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,698403.0,WATER BODIES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,33281.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,1229167.0,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,314437.0,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,322442.0,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,141363.0,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,13142.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,46020.0,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,33641.0,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,1839748.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,368874.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,19903.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,2452344.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,691189.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,283040.0,ARTIFICIAL SURFACES,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,1.0255934E7,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,1055690.0,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,467926.0,FOREST AND SEMI[1]NATURAL AREAS,AGRICULTURAL AREAS,"{""type"":""MultiPoint"",""coordinates"":[]}"
