system:index,Area (sq m),From Class,To Class,.geo
8,2777549.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,425758.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2610539.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3053983.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,483420.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3081614.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,535953.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,94802.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,47262.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,459002.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,569808.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,811768.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,62761.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,55358.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,70945.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,196703.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,732140.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3.023888E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,7645416.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2.3091276E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1.8947225E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3525664.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,3.5379712E7,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,6751627.0,AGRICULTURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,409077.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,290461.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,150846.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,6249807.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,1790168.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,6057292.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,259476.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,79480.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,1202863.0,FOREST AND SEMI[1]NATURAL AREAS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,204648.0,WETLANDS,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,259095.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,7840.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,330319.0,WATER BODIES,ARTIFICIAL SURFACES,"{""type"":""MultiPoint"",""coordinates"":[]}"
