"","source","target","value","IDsource","IDtarget"
"1","AGRICULTURAL AREAS","ARTIFICIAL SURFACES ",402417194,0,5
"2","AGRICULTURAL AREAS","FOREST AND SEMINATURAL AREAS ",33348068,0,6
"3","AGRICULTURAL AREAS","WATER BODIES ",5715476,0,7
"4","AGRICULTURAL AREAS","WETLANDS ",6257207,0,8
"5","ARTIFICIAL SURFACES","AGRICULTURAL AREAS ",38857796,1,9
"6","ARTIFICIAL SURFACES","FOREST AND SEMINATURAL AREAS ",19216195,1,6
"7","ARTIFICIAL SURFACES","WATER BODIES ",6739634,1,7
"8","ARTIFICIAL SURFACES","WETLANDS ",418833,1,8
"9","FOREST AND SEMINATURAL AREAS","AGRICULTURAL AREAS ",32093193,2,9
"10","FOREST AND SEMINATURAL AREAS","ARTIFICIAL SURFACES ",25107017,2,5
"11","FOREST AND SEMINATURAL AREAS","WATER BODIES ",569879,2,7
"12","FOREST AND SEMINATURAL AREAS","WETLANDS ",4345832,2,8
"13","WATER BODIES","AGRICULTURAL AREAS ",633803,3,9
"14","WATER BODIES","ARTIFICIAL SURFACES ",409482,3,5
"15","WATER BODIES","FOREST AND SEMINATURAL AREAS ",1082891,3,6
"16","WATER BODIES","WETLANDS ",295522,3,8
"17","WETLANDS","AGRICULTURAL AREAS ",3265259,4,9
"18","WETLANDS","ARTIFICIAL SURFACES ",1229980,4,5
"19","WETLANDS","FOREST AND SEMINATURAL AREAS ",5281686,4,6
"20","WETLANDS","WATER BODIES ",540689,4,7
