"","source","target","value","IDsource","IDtarget"
"1","AGRICULTURAL AREAS","ARTIFICIAL SURFACES ",418749352,0,5
"2","AGRICULTURAL AREAS","FOREST AND SEMINATURAL AREAS ",76998798,0,6
"3","AGRICULTURAL AREAS","WATER BODIES ",34925744,0,7
"4","AGRICULTURAL AREAS","WETLANDS ",1952002,0,8
"5","ARTIFICIAL SURFACES","AGRICULTURAL AREAS ",41040969,1,9
"6","ARTIFICIAL SURFACES","FOREST AND SEMINATURAL AREAS ",16244271,1,6
"7","ARTIFICIAL SURFACES","WATER BODIES ",24320267,1,7
"8","ARTIFICIAL SURFACES","WETLANDS ",6622,1,8
"9","FOREST AND SEMINATURAL AREAS","AGRICULTURAL AREAS ",78445866,2,9
"10","FOREST AND SEMINATURAL AREAS","ARTIFICIAL SURFACES ",59718168,2,5
"11","FOREST AND SEMINATURAL AREAS","WATER BODIES ",6147768,2,7
"12","FOREST AND SEMINATURAL AREAS","WETLANDS ",6535767,2,8
"13","WATER BODIES","AGRICULTURAL AREAS ",1998849,3,9
"14","WATER BODIES","ARTIFICIAL SURFACES ",781979,3,5
"15","WATER BODIES","FOREST AND SEMINATURAL AREAS ",908091,3,6
"16","WETLANDS","AGRICULTURAL AREAS ",1256318,4,9
"17","WETLANDS","ARTIFICIAL SURFACES ",245067,4,5
"18","WETLANDS","FOREST AND SEMINATURAL AREAS ",445037,4,6
"19","WETLANDS","WATER BODIES ",482415,4,7
